員工編號(EmployeeNumber),性別(Gender),年齡(Age),是否為成年人(Over18),婚姻狀態(MaritalStatus),通勤距離(DistanceFromHome),教育程度(Education),教育專業領域(EducationField),部門(Department),職位名稱(JobRole),職位等級(JobLevel),在該公司工作總年資(YearsAtCompany),在該職位工作年資(YearsInCurrentRole),在該職等工作年資(YearsSinceLastPromotion),與現任管理者工作年資(YearsWithCurrManager),總工作年資(TotalWorkingYears),過去工作公司家數(NumCompaniesWorked),每日工資額(DailyRate),每小時工資額(HourlyRate),月收入(MonthlyIncome),月費率(MonthlyRate),標準工作時間(StandardHours),加班(OverTime),調薪百分比(PercentSalaryHike),股票選擇權等級(StockOptionLevel),績效評估(PerformanceRating),出差頻率(BusinessTravel),去年訓練時間(TrainingTimesLastYear),工作滿意度(JobSatisfaction),工作環境滿意度(EnvironmentSatisfaction),工作投入(JobInvolvement),工作生活平衡(WorkLifeBalance),人際關係滿意度(RelationshipSatisfaction),離職(Attrition)
1423,Female,58,Y,Married,1,3,Medical,Research & Development,Research Director,5,9,8,1,5,32,3,1055,76,19701,22456,80,Yes,21,1,4,Travel_Rarely,3,1,4,3,3,3,No
1047,Male,34,Y,Divorced,1,4,Marketing,Sales,Sales Executive,2,15,1,0,9,16,0,216,75,9725,12278,80,No,11,1,3,Travel_Rarely,2,4,2,4,2,4,No
1918,Male,26,Y,Married,6,3,Other,Research & Development,Laboratory Technician,1,7,7,7,7,8,0,1096,61,2544,7102,80,No,18,1,3,Travel_Frequently,3,4,3,4,3,1,No
500,Female,51,Y,Married,14,2,Life Sciences,Sales,Sales Executive,2,7,7,0,7,18,4,1178,87,4936,14862,80,No,11,1,3,Travel_Rarely,2,4,3,3,2,3,No
429,Male,39,Y,Married,10,1,Medical,Research & Development,Manager,4,21,9,11,10,21,1,117,99,17068,5355,80,Yes,14,0,3,Travel_Rarely,3,1,3,3,3,4,No
592,Male,36,Y,Single,10,4,Medical,Sales,Sales Executive,3,10,3,9,7,10,1,635,32,9980,15318,80,No,14,0,3,Non-Travel,3,4,2,3,2,4,No
436,Female,32,Y,Married,8,2,Technical Degree,Sales,Sales Executive,2,13,12,11,9,13,1,588,65,5228,24624,80,Yes,11,0,3,Travel_Rarely,2,2,3,2,3,4,No
1071,Female,56,Y,Married,9,3,Medical,Research & Development,Research Scientist,1,5,4,0,3,18,2,1240,63,2942,12154,80,No,19,1,3,Travel_Frequently,4,3,1,3,3,2,No
1483,Male,57,Y,Married,1,2,Life Sciences,Research & Development,Research Scientist,2,12,9,2,8,13,0,405,93,4900,2721,80,No,24,1,4,Travel_Rarely,2,3,2,4,2,1,No
568,Male,57,Y,Divorced,29,3,Marketing,Sales,Manager,4,1,0,0,0,32,3,210,56,14118,22102,80,No,12,1,3,Travel_Rarely,3,4,1,2,2,3,No
763,Female,40,Y,Single,2,1,Medical,Research & Development,Research Scientist,1,4,2,2,3,5,0,804,86,2342,22929,80,Yes,20,0,4,Travel_Rarely,2,4,4,2,2,4,No
2023,Male,23,Y,Married,9,3,Marketing,Sales,Sales Representative,1,1,0,1,0,1,1,638,33,1790,26956,80,No,19,1,3,Travel_Frequently,3,1,4,3,2,1,Yes
1689,Male,53,Y,Married,24,4,Medical,Research & Development,Healthcare Representative,3,4,3,1,2,11,3,1395,48,7005,3458,80,No,15,0,3,Travel_Rarely,2,4,2,4,3,3,No
1675,Female,38,Y,Single,2,3,Medical,Research & Development,Laboratory Technician,1,4,3,3,3,4,1,148,42,2440,23826,80,No,22,0,4,Travel_Frequently,3,2,4,2,3,2,No
829,Male,36,Y,Married,13,3,Human Resources,Human Resources,Human Resources,1,5,2,0,4,8,4,1041,36,2143,25527,80,No,13,1,3,Travel_Rarely,2,2,3,3,3,2,No
312,Female,29,Y,Married,1,1,Medical,Sales,Sales Executive,3,11,10,4,1,11,1,1413,42,7918,6599,80,No,14,1,3,Travel_Frequently,5,4,2,3,3,4,No
2015,Female,38,Y,Married,10,3,Medical,Research & Development,Research Director,3,18,16,1,11,20,3,201,99,13206,3376,80,No,12,1,3,Travel_Rarely,3,3,2,1,3,1,No
1993,Male,47,Y,Single,25,3,Medical,Research & Development,Healthcare Representative,3,17,14,12,11,25,2,1180,84,8633,13084,80,No,23,0,4,Travel_Rarely,3,3,1,3,3,2,No
1309,Male,32,Y,Married,7,2,Life Sciences,Research & Development,Laboratory Technician,2,10,4,1,1,10,1,1089,79,4883,22845,80,No,18,1,3,Travel_Rarely,3,3,4,3,3,1,Yes
1621,Male,35,Y,Married,18,5,Life Sciences,Research & Development,Research Scientist,2,16,15,1,10,16,1,819,48,5208,26312,80,No,11,0,3,Travel_Rarely,2,1,2,4,3,4,No
85,Male,36,Y,Single,11,3,Life Sciences,Research & Development,Manufacturing Director,2,6,5,0,3,6,1,1195,95,6499,22656,80,No,13,0,3,Travel_Frequently,3,2,2,2,3,3,No
1420,Male,49,Y,Single,28,2,Life Sciences,Research & Development,Laboratory Technician,2,4,3,1,3,20,3,1475,97,4284,22710,80,No,20,0,4,Travel_Frequently,2,1,1,2,3,1,Yes
804,Female,34,Y,Single,2,4,Medical,Research & Development,Research Scientist,1,6,5,1,3,6,1,121,86,4381,7530,80,No,11,0,3,Travel_Rarely,3,1,3,2,3,3,No
1322,Male,39,Y,Single,18,2,Life Sciences,Research & Development,Manufacturing Director,2,8,7,1,7,9,0,524,32,4534,13352,80,No,11,0,3,Travel_Rarely,6,3,1,3,3,1,No
292,Male,30,Y,Single,1,1,Life Sciences,Research & Development,Manufacturing Director,3,11,8,5,8,12,1,829,88,8474,20925,80,No,22,0,4,Non-Travel,2,3,3,2,3,3,No
1391,Male,51,Y,Married,2,3,Marketing,Sales,Sales Executive,3,4,2,3,2,14,2,541,52,10596,15395,80,No,11,0,3,Travel_Frequently,5,2,2,3,3,2,No
1291,Male,35,Y,Married,6,1,Life Sciences,Research & Development,Research Scientist,1,3,2,2,2,4,0,735,66,3506,6020,80,Yes,14,0,3,Travel_Rarely,3,3,3,3,3,4,No
732,Male,60,Y,Single,16,4,Marketing,Sales,Sales Executive,2,2,2,2,2,10,8,1179,84,5405,11924,80,No,14,0,3,Travel_Rarely,1,1,1,3,3,4,No
2044,Male,50,Y,Divorced,1,4,Life Sciences,Sales,Sales Executive,2,6,3,0,1,12,7,878,94,6728,14255,80,No,12,2,3,Travel_Frequently,3,3,2,3,3,4,Yes
1546,Male,45,Y,Married,28,3,Technical Degree,Research & Development,Research Scientist,1,5,4,0,3,8,4,950,97,2132,4585,80,No,20,1,4,Travel_Rarely,3,4,4,3,3,4,No
112,Male,56,Y,Single,7,3,Life Sciences,Research & Development,Manufacturing Director,3,6,4,0,2,37,4,1400,49,7260,21698,80,No,11,0,3,Travel_Rarely,3,4,4,1,2,1,No
1857,Male,46,Y,Divorced,2,2,Life Sciences,Research & Development,Manufacturing Director,3,9,8,4,7,12,3,706,82,8578,19989,80,No,14,1,3,Travel_Rarely,4,4,4,3,2,3,No
1768,Male,42,Y,Divorced,12,3,Medical,Research & Development,Laboratory Technician,1,5,3,0,4,7,8,855,57,2766,8952,80,No,22,3,4,Travel_Rarely,6,2,2,3,2,2,No
1697,Male,60,Y,Divorced,1,4,Medical,Research & Development,Healthcare Representative,3,1,0,0,0,19,3,370,92,10883,20467,80,No,20,1,4,Travel_Rarely,2,4,3,1,4,3,No
879,Male,25,Y,Married,3,1,Other,Sales,Sales Executive,2,5,3,0,3,5,1,141,98,4194,14363,80,Yes,18,0,3,Travel_Rarely,3,1,3,3,3,4,No
1858,Male,28,Y,Divorced,1,2,Life Sciences,Human Resources,Human Resources,1,3,2,2,2,3,1,280,43,2706,10494,80,No,15,1,3,Non-Travel,2,4,3,3,3,2,No
1572,Female,53,Y,Married,2,5,Technical Degree,Research & Development,Manufacturing Director,3,33,7,1,9,34,0,607,78,10169,14618,80,No,16,1,3,Travel_Rarely,4,4,3,2,3,2,Yes
1936,Male,39,Y,Married,9,2,Medical,Research & Development,Manufacturing Director,2,10,0,7,9,10,1,867,87,5151,12315,80,No,25,1,4,Travel_Rarely,3,1,1,3,3,4,No
1867,Male,48,Y,Married,10,3,Life Sciences,Research & Development,Research Director,5,22,10,12,9,29,4,1224,91,19665,13583,80,No,12,0,3,Travel_Rarely,3,2,4,2,3,4,No
378,Male,37,Y,Married,6,4,Medical,Sales,Sales Executive,2,5,4,0,1,7,4,228,98,6502,22825,80,No,14,1,3,Travel_Rarely,5,4,3,3,4,2,No
1392,Female,41,Y,Divorced,22,3,Life Sciences,Research & Development,Research Scientist,2,6,2,3,3,12,3,1200,75,5467,13953,80,Yes,14,2,3,Travel_Frequently,4,4,4,3,2,1,No
484,Male,21,Y,Single,9,2,Medical,Sales,Sales Representative,1,3,2,2,2,3,1,895,39,2610,2851,80,No,24,0,4,Non-Travel,3,4,1,3,2,3,No
859,Male,32,Y,Divorced,13,4,Life Sciences,Sales,Sales Executive,2,5,2,0,3,8,2,117,73,4403,9250,80,No,11,1,3,Travel_Rarely,3,4,2,3,2,3,No
4,Male,37,Y,Single,2,2,Other,Research & Development,Laboratory Technician,1,0,0,0,0,7,6,1373,92,2090,2396,80,Yes,15,0,3,Travel_Rarely,3,3,4,2,3,2,Yes
10,Female,59,Y,Married,3,3,Medical,Research & Development,Laboratory Technician,1,1,0,0,0,12,4,1324,81,2670,9964,80,Yes,20,3,4,Travel_Rarely,3,1,3,4,2,1,No
425,Male,45,Y,Divorced,7,3,Life Sciences,Research & Development,Laboratory Technician,3,24,9,9,11,24,1,1249,97,5210,20308,80,No,18,1,3,Travel_Frequently,2,1,1,3,3,1,No
881,Female,35,Y,Divorced,25,4,Life Sciences,Research & Development,Research Scientist,1,10,2,7,8,10,1,130,96,2022,16612,80,Yes,19,1,3,Travel_Frequently,3,2,4,3,2,1,Yes
1257,Male,36,Y,Married,3,3,Technical Degree,Research & Development,Research Scientist,1,11,10,0,7,12,1,469,46,3692,9256,80,No,12,0,3,Travel_Frequently,2,2,3,3,2,3,No
2037,Male,41,Y,Divorced,3,3,Life Sciences,Sales,Sales Executive,2,5,4,0,4,14,2,930,57,8938,12227,80,No,11,1,3,Travel_Rarely,5,2,3,2,3,3,No
298,Female,41,Y,Single,6,3,Life Sciences,Sales,Manager,3,1,0,0,0,16,3,896,75,13591,14674,80,Yes,18,0,3,Travel_Rarely,3,4,4,3,3,3,No
1292,Female,42,Y,Married,7,4,Medical,Research & Development,Research Scientist,2,1,0,0,0,18,6,603,78,2372,5628,80,Yes,16,0,3,Travel_Rarely,2,2,2,4,3,4,No
35,Male,42,Y,Married,8,4,Marketing,Sales,Sales Executive,2,9,7,4,2,10,0,691,48,6825,21173,80,No,11,1,3,Travel_Rarely,2,2,3,3,3,4,No
1495,Female,24,Y,Married,13,2,Life Sciences,Sales,Sales Representative,1,1,0,0,0,1,1,830,78,2033,7103,80,No,13,1,3,Non-Travel,2,2,4,3,3,3,No
1157,Female,33,Y,Single,9,4,Marketing,Sales,Sales Executive,2,5,2,0,3,6,0,603,77,8224,18385,80,Yes,17,0,3,Travel_Rarely,3,1,1,3,3,1,Yes
902,Female,43,Y,Married,1,3,Life Sciences,Research & Development,Healthcare Representative,2,5,2,2,2,12,4,422,33,5562,21782,80,No,13,1,3,Travel_Frequently,2,4,4,3,2,2,No
885,Male,25,Y,Married,4,1,Marketing,Sales,Sales Executive,2,5,2,0,3,5,1,583,87,4256,18154,80,No,12,0,3,Travel_Rarely,1,1,3,2,4,1,No
1006,Male,38,Y,Married,10,1,Medical,Research & Development,Research Scientist,1,2,1,0,2,3,0,1391,66,2684,12127,80,No,17,1,3,Travel_Frequently,0,3,3,3,2,2,No
1515,Male,33,Y,Single,8,5,Life Sciences,Research & Development,Healthcare Representative,2,0,0,0,0,14,2,516,69,6388,22049,80,Yes,17,0,3,Travel_Rarely,6,3,4,3,3,1,No
862,Female,53,Y,Married,7,2,Marketing,Sales,Sales Executive,3,5,2,0,4,35,7,661,78,10934,20715,80,Yes,18,1,3,Travel_Rarely,3,4,1,2,3,4,No
1126,Female,43,Y,Married,27,3,Life Sciences,Research & Development,Manufacturing Director,3,8,7,0,1,18,8,1082,83,10820,11535,80,No,11,1,3,Travel_Frequently,1,1,3,3,3,3,No
351,Female,42,Y,Divorced,2,3,Medical,Research & Development,Laboratory Technician,1,9,6,7,8,10,0,269,56,2593,8007,80,Yes,11,1,3,Travel_Rarely,4,1,4,2,3,3,No
32,Female,53,Y,Divorced,5,3,Other,Research & Development,Manager,5,14,13,4,8,26,4,1282,58,19094,10735,80,No,11,1,3,Travel_Rarely,3,3,3,3,2,4,No
454,Male,29,Y,Married,8,4,Other,Research & Development,Laboratory Technician,1,7,7,0,7,7,1,318,77,2119,4759,80,Yes,11,0,3,Travel_Rarely,4,1,2,1,2,4,Yes
793,Female,29,Y,Married,27,3,Medical,Research & Development,Healthcare Representative,2,8,7,1,1,11,4,657,66,4335,25549,80,No,12,1,3,Travel_Rarely,3,3,2,3,2,1,No
61,Male,37,Y,Married,19,2,Life Sciences,Research & Development,Research Scientist,1,1,0,0,0,8,4,408,73,3022,10227,80,No,21,0,4,Travel_Rarely,1,2,2,3,3,1,No
141,Female,50,Y,Married,1,3,Life Sciences,Research & Development,Research Director,5,8,3,0,7,28,3,1115,73,18172,9755,80,Yes,19,0,3,Travel_Frequently,1,2,1,3,2,1,No
469,Male,29,Y,Married,2,3,Life Sciences,Sales,Sales Executive,2,4,3,0,2,4,1,746,61,4649,16928,80,No,14,1,3,Non-Travel,3,3,4,3,2,1,No
73,Female,33,Y,Single,1,2,Life Sciences,Research & Development,Research Director,3,15,14,8,12,15,1,515,98,13458,15146,80,Yes,12,0,3,Travel_Frequently,1,4,1,3,3,3,No
1074,Male,55,Y,Single,2,1,Medical,Research & Development,Manager,4,9,7,6,2,31,7,444,40,16756,17323,80,No,15,0,3,Non-Travel,3,1,3,2,4,2,No
296,Male,51,Y,Married,8,4,Life Sciences,Research & Development,Research Director,3,10,9,4,7,16,5,1469,81,12490,15736,80,No,16,2,3,Travel_Rarely,5,2,2,2,1,4,No
159,Male,30,Y,Divorced,23,3,Life Sciences,Research & Development,Research Scientist,1,10,7,0,9,10,1,1312,96,2613,22310,80,No,25,3,4,Travel_Frequently,2,3,1,1,2,3,No
1256,Male,49,Y,Married,4,2,Medical,Research & Development,Manager,5,1,0,0,0,23,2,1098,85,18711,12124,80,No,13,1,3,Travel_Rarely,2,3,1,2,4,3,No
987,Male,47,Y,Divorced,16,4,Medical,Research & Development,Manufacturing Director,2,19,10,2,7,20,1,1379,64,5067,6759,80,Yes,19,0,3,Travel_Frequently,3,3,3,4,4,3,No
95,Male,31,Y,Single,1,4,Medical,Research & Development,Research Scientist,1,1,1,1,0,1,1,1082,87,2501,18775,80,No,17,0,3,Travel_Rarely,4,2,3,3,3,2,No
1856,Female,47,Y,Single,9,4,Life Sciences,Research & Development,Laboratory Technician,1,2,2,2,0,7,4,207,64,2105,5411,80,No,12,0,3,Travel_Rarely,2,3,2,3,3,3,No
1308,Male,58,Y,Divorced,23,4,Life Sciences,Research & Development,Research Scientist,1,2,2,2,2,2,1,848,88,2372,26076,80,No,12,2,3,Travel_Rarely,3,3,1,3,3,4,No
58,Female,41,Y,Married,12,3,Technical Degree,Research & Development,Research Director,5,22,15,15,8,23,1,1360,49,19545,16280,80,No,12,0,3,Travel_Rarely,0,3,2,3,3,4,Yes
2054,Female,29,Y,Single,28,4,Medical,Research & Development,Research Scientist,1,5,4,0,4,5,1,468,73,3785,8489,80,No,14,0,3,Travel_Rarely,3,1,4,2,1,2,No
716,Male,50,Y,Married,28,1,Medical,Research & Development,Laboratory Technician,1,20,8,3,8,20,1,1207,74,3221,3297,80,Yes,11,3,3,Travel_Rarely,3,3,4,4,3,3,No
2010,Female,32,Y,Single,29,4,Life Sciences,Research & Development,Laboratory Technician,1,6,2,4,1,6,1,267,49,2837,15919,80,No,13,0,3,Travel_Rarely,3,2,3,2,3,3,No
1608,Female,44,Y,Divorced,7,3,Medical,Research & Development,Research Director,5,22,7,1,10,23,0,1313,31,19049,3549,80,Yes,14,1,3,Travel_Rarely,4,4,2,3,2,4,No
1152,Male,38,Y,Married,1,3,Human Resources,Human Resources,Human Resources,1,7,6,5,0,7,1,433,37,2844,6004,80,No,13,1,3,Travel_Rarely,2,3,3,4,4,4,No
1053,Male,26,Y,Married,2,3,Life Sciences,Research & Development,Research Scientist,1,3,2,1,2,6,6,342,57,2042,15346,80,Yes,14,1,3,Travel_Frequently,2,1,1,3,3,2,Yes
729,Male,40,Y,Married,5,4,Life Sciences,Sales,Sales Executive,3,18,13,1,12,20,5,580,48,10475,23772,80,Yes,21,1,4,Travel_Frequently,2,1,4,2,3,3,No
834,Female,45,Y,Single,2,3,Life Sciences,Research & Development,Research Scientist,1,1,0,0,0,1,1,252,95,2274,6153,80,No,14,0,3,Travel_Rarely,3,3,2,2,3,4,No
624,Female,46,Y,Married,18,1,Medical,Research & Development,Healthcare Representative,3,2,2,1,2,28,5,1034,86,10527,8984,80,No,11,0,3,Travel_Frequently,3,3,1,3,2,4,No
1082,Male,28,Y,Single,24,2,Technical Degree,Research & Development,Healthcare Representative,3,10,7,1,9,10,1,1366,72,8722,12355,80,No,12,0,3,Non-Travel,2,1,2,2,2,1,Yes
1755,Male,34,Y,Married,2,4,Medical,Research & Development,Research Scientist,1,5,0,1,2,6,0,181,97,2932,5586,80,Yes,14,3,3,Travel_Rarely,3,4,4,4,3,1,No
1034,Male,55,Y,Married,18,4,Medical,Research & Development,Healthcare Representative,2,8,7,6,7,17,3,135,62,6385,12992,80,Yes,14,2,3,Travel_Frequently,3,2,3,3,3,4,No
1269,Female,19,Y,Single,25,3,Life Sciences,Research & Development,Research Scientist,1,1,0,0,1,1,1,265,57,2994,21221,80,Yes,12,0,3,Travel_Rarely,2,4,2,4,3,4,No
78,Male,32,Y,Married,1,3,Medical,Research & Development,Manufacturing Director,2,9,8,7,8,9,1,427,33,6162,10877,80,Yes,22,1,4,Travel_Rarely,3,4,1,3,3,2,No
1449,Male,40,Y,Divorced,9,4,Other,Research & Development,Laboratory Technician,2,8,7,0,7,11,3,663,81,3975,23099,80,No,11,2,3,Non-Travel,2,3,3,3,4,3,No
121,Female,30,Y,Divorced,4,2,Medical,Sales,Sales Executive,2,11,8,2,7,11,1,1334,63,5209,19760,80,Yes,12,3,3,Travel_Rarely,4,2,3,2,2,2,No
926,Female,22,Y,Married,3,1,Life Sciences,Research & Development,Manufacturing Director,2,3,2,0,2,4,0,617,34,4171,10022,80,Yes,19,1,3,Travel_Rarely,3,3,2,3,4,1,Yes
945,Male,48,Y,Married,20,4,Medical,Research & Development,Research Scientist,1,0,0,0,0,13,4,1469,51,2259,5543,80,No,17,2,3,Travel_Rarely,2,3,4,3,2,1,No
264,Male,45,Y,Married,2,2,Medical,Research & Development,Manager,4,20,8,11,8,22,9,1195,65,16792,20462,80,No,23,1,4,Non-Travel,1,4,1,2,3,4,No
386,Male,53,Y,Married,3,4,Medical,Research & Development,Research Director,4,5,3,1,3,21,3,1070,45,17584,21016,80,Yes,16,3,3,Travel_Rarely,5,3,3,3,2,4,No
481,Male,36,Y,Married,3,4,Medical,Sales,Sales Executive,3,13,9,1,12,16,4,541,48,9699,7246,80,No,11,1,3,Travel_Frequently,2,4,1,2,3,1,No
710,Male,29,Y,Divorced,1,4,Life Sciences,Research & Development,Research Scientist,1,10,7,2,8,10,1,806,76,2720,18959,80,No,18,1,3,Travel_Frequently,5,4,2,1,3,4,No
1080,Female,46,Y,Divorced,8,4,Life Sciences,Research & Development,Research Scientist,2,16,13,1,7,19,8,1003,74,4615,21029,80,Yes,23,3,4,Travel_Rarely,2,1,4,2,3,1,No
1025,Female,41,Y,Single,7,2,Medical,Research & Development,Manufacturing Director,2,2,2,2,1,8,6,549,42,5003,23371,80,No,14,0,3,Travel_Rarely,6,3,4,3,3,2,No
248,Female,41,Y,Single,20,2,Marketing,Sales,Sales Representative,1,4,3,0,2,4,1,1356,70,3140,21728,80,Yes,22,0,4,Travel_Rarely,5,2,2,3,2,4,Yes
1401,Female,52,Y,Married,28,2,Medical,Research & Development,Manufacturing Director,4,5,3,0,2,24,2,322,59,13247,9731,80,Yes,11,1,3,Travel_Frequently,3,3,4,4,2,2,No
145,Female,51,Y,Single,1,4,Medical,Research & Development,Healthcare Representative,3,13,12,12,8,23,3,1456,30,7484,25796,80,No,20,0,4,Travel_Frequently,1,1,1,2,2,3,No
55,Male,26,Y,Single,25,3,Life Sciences,Research & Development,Laboratory Technician,1,1,0,0,1,1,1,1357,48,2293,10558,80,No,12,0,3,Travel_Rarely,2,3,1,1,2,3,Yes
1556,Male,36,Y,Single,2,4,Life Sciences,Sales,Sales Representative,1,3,2,1,2,7,3,1157,70,2644,17001,80,Yes,21,0,4,Travel_Rarely,3,4,3,3,2,4,No
282,Male,38,Y,Married,29,1,Medical,Research & Development,Healthcare Representative,2,1,0,0,0,17,7,1180,70,6673,11354,80,Yes,19,0,3,Travel_Rarely,2,1,2,3,3,2,Yes
1613,Male,31,Y,Single,2,4,Other,Sales,Sales Executive,2,5,2,0,3,10,7,715,54,5332,21602,80,No,13,0,3,Travel_Frequently,3,1,4,3,3,4,No
68,Female,44,Y,Divorced,1,5,Marketing,Sales,Sales Executive,2,4,3,1,3,9,5,1488,75,5454,4009,80,Yes,21,1,4,Travel_Rarely,2,1,2,3,2,3,No
747,Male,30,Y,Divorced,27,5,Marketing,Sales,Sales Executive,2,8,7,7,7,10,7,501,99,5304,25275,80,No,23,1,4,Travel_Rarely,2,4,3,3,2,4,No
1331,Female,31,Y,Single,1,3,Life Sciences,Sales,Sales Representative,1,3,2,2,2,3,1,1060,54,2302,8319,80,Yes,11,0,3,Travel_Frequently,2,2,4,3,4,1,Yes
1405,Female,27,Y,Single,17,4,Life Sciences,Research & Development,Research Scientist,1,8,2,7,7,8,1,135,51,2394,25681,80,Yes,13,0,3,Travel_Rarely,2,3,4,3,3,4,Yes
1136,Male,28,Y,Married,2,1,Life Sciences,Research & Development,Research Scientist,1,5,3,0,4,6,0,1451,67,3201,19911,80,No,17,0,3,Travel_Rarely,2,2,1,2,1,1,No
1009,Female,24,Y,Divorced,17,1,Medical,Research & Development,Manufacturing Director,2,4,2,3,2,5,1,1206,41,4377,24117,80,No,15,2,3,Travel_Rarely,6,3,4,2,3,2,No
249,Male,50,Y,Married,1,3,Medical,Research & Development,Laboratory Technician,1,3,2,0,2,5,2,328,86,3690,3425,80,No,15,1,3,Travel_Rarely,2,3,3,2,2,4,No
182,Female,39,Y,Married,4,4,Life Sciences,Sales,Sales Executive,2,15,11,5,9,17,4,1329,47,5902,14590,80,No,14,1,3,Travel_Rarely,1,3,4,2,4,3,No
1298,Female,30,Y,Single,9,2,Medical,Research & Development,Manufacturing Director,2,8,4,1,7,10,7,879,72,4695,12858,80,Yes,18,0,3,Non-Travel,3,3,3,3,3,3,No
104,Male,30,Y,Married,1,1,Life Sciences,Research & Development,Laboratory Technician,2,10,8,3,0,10,1,852,55,5126,15998,80,Yes,12,2,3,Travel_Rarely,1,4,4,2,2,3,No
1669,Male,29,Y,Divorced,5,3,Medical,Sales,Sales Executive,2,10,0,0,9,10,1,991,43,4187,3356,80,Yes,13,1,3,Travel_Rarely,3,2,1,2,2,2,No
140,Female,59,Y,Married,2,4,Human Resources,Human Resources,Manager,5,3,2,2,2,30,9,1420,32,18844,21922,80,No,21,1,4,Non-Travel,3,4,3,2,3,4,No
742,Female,36,Y,Married,8,3,Life Sciences,Research & Development,Research Director,3,8,7,0,5,10,9,427,63,11713,20335,80,No,14,1,3,Non-Travel,2,1,1,4,3,1,No
994,Female,29,Y,Single,10,3,Life Sciences,Research & Development,Research Scientist,1,0,0,0,0,3,6,906,92,2404,11479,80,Yes,20,0,4,Travel_Rarely,5,1,4,2,3,3,Yes
648,Male,30,Y,Married,12,4,Life Sciences,Sales,Sales Representative,1,1,0,0,0,1,1,448,74,2033,14470,80,No,18,1,3,Travel_Frequently,2,1,2,2,4,3,Yes
226,Female,50,Y,Single,11,3,Life Sciences,Research & Development,Manager,5,5,4,4,4,21,3,1452,53,19926,17053,80,No,15,0,3,Travel_Rarely,5,2,3,3,3,2,No
340,Female,37,Y,Married,1,2,Medical,Research & Development,Research Scientist,1,3,1,0,2,17,2,1017,83,3920,18697,80,No,14,1,3,Travel_Rarely,2,1,3,2,2,1,No
421,Female,38,Y,Married,25,2,Life Sciences,Research & Development,Research Director,3,10,8,0,1,19,3,849,81,12061,26707,80,No,17,1,3,Travel_Rarely,2,2,1,2,3,3,No
599,Male,41,Y,Single,10,2,Life Sciences,Sales,Sales Executive,2,14,3,1,10,16,7,267,56,6230,13430,80,No,14,0,3,Non-Travel,3,4,4,3,3,4,No
1762,Female,29,Y,Divorced,4,3,Technical Degree,Research & Development,Research Scientist,1,1,0,0,0,1,1,590,91,2109,10007,80,No,13,1,3,Travel_Rarely,2,1,4,2,3,3,No
452,Male,45,Y,Married,8,4,Other,Research & Development,Research Scientist,2,10,9,9,8,12,9,549,75,3697,9278,80,No,14,2,3,Travel_Rarely,3,4,4,3,3,1,No
129,Male,28,Y,Married,4,3,Medical,Sales,Sales Executive,2,5,4,0,4,5,1,120,43,4221,8863,80,No,15,0,3,Non-Travel,3,3,2,3,4,2,No
1954,Male,29,Y,Married,1,3,Life Sciences,Research & Development,Healthcare Representative,2,5,3,0,2,6,0,136,89,5373,6225,80,No,12,1,3,Travel_Rarely,5,1,1,3,2,1,No
1109,Male,42,Y,Married,2,2,Medical,Research & Development,Manager,4,22,6,13,7,23,0,469,35,17665,14399,80,No,17,1,3,Travel_Rarely,3,1,4,3,3,4,No
1263,Male,48,Y,Single,1,3,Life Sciences,Research & Development,Research Director,5,1,0,0,0,25,6,715,76,18265,8733,80,No,12,0,3,Travel_Rarely,3,4,4,2,4,3,No
137,Female,20,Y,Single,6,3,Life Sciences,Research & Development,Laboratory Technician,1,1,0,1,0,1,1,871,66,2926,19783,80,Yes,18,0,3,Travel_Frequently,5,4,4,2,3,2,Yes
581,Male,31,Y,Divorced,9,1,Life Sciences,Research & Development,Manufacturing Director,3,13,8,0,8,13,1,1274,33,10648,14394,80,No,25,1,4,Travel_Rarely,6,2,3,3,4,4,No
1722,Male,41,Y,Married,4,3,Human Resources,Human Resources,Human Resources,2,3,2,1,2,10,6,552,60,6430,20794,80,No,19,1,3,Non-Travel,4,2,3,1,3,2,No
1844,Male,29,Y,Divorced,13,3,Human Resources,Human Resources,Human Resources,1,2,2,2,0,4,4,350,56,2335,3157,80,Yes,15,3,3,Travel_Rarely,3,1,1,2,3,4,Yes
1171,Male,42,Y,Single,4,4,Marketing,Sales,Sales Executive,2,6,4,1,5,9,7,647,45,5155,2253,80,No,13,0,3,Travel_Rarely,3,1,2,3,4,4,No
2045,Female,36,Y,Married,11,4,Marketing,Sales,Sales Executive,2,6,3,0,0,8,4,1120,100,6652,14369,80,No,13,1,3,Travel_Rarely,2,4,2,2,2,1,No
412,Male,28,Y,Single,16,2,Medical,Research & Development,Healthcare Representative,2,8,3,0,7,9,0,1476,68,5661,4824,80,No,19,0,3,Travel_Rarely,2,1,2,4,3,3,No
1734,Male,32,Y,Single,1,2,Life Sciences,Sales,Sales Executive,2,0,0,0,0,10,6,964,34,6735,12147,80,No,15,0,3,Travel_Rarely,2,2,1,1,3,2,Yes
1682,Male,36,Y,Married,26,4,Life Sciences,Research & Development,Healthcare Representative,2,3,2,0,2,10,6,1351,80,5347,7419,80,No,14,2,3,Travel_Rarely,2,3,1,3,2,2,No
517,Female,42,Y,Divorced,1,4,Life Sciences,Research & Development,Laboratory Technician,1,5,2,1,2,8,3,201,95,2576,20490,80,No,16,1,3,Travel_Rarely,5,1,2,3,3,2,No
